,id,name,RA,Decl,V_mag,R_star,M_star,Priority,SpcType,comments,period,period_error,t0,t0_error,depth,duration,Rs_a,Mp,Rp,filler,public,tess,required_observations,done,t0_sg1,t0_error_sg1,period_sg1,period_error_sg1,duration_sg1,duration_error_sg1,Rp_sg1,comments_sg1,depth_sg1,plan_observations,rv_interested,master_disposition,observations,stellar_density,,,,,,
1,732,TOI03991.01,0.20241666666667,62.803044444444,13.089,0,0,5,,"EPHEMERIS ERROR: 38 min TTF Comments: The next observation should be focused and in a red (r', R, i', I, z) filter to determine the source, depth, and timing of the event off target.""""",2.2774846,0,2458981.868452,0,0,0.1565,0,0,0,0,1,1,1,No,2458981.868452,0.007024,2.277485,0.000118,0.1565,0.592,17.8,"found in faint-star QLP search; Aviad Panahi, Tsevi Mazeh, and Shay Zucker report from 53 Gaia data points (4 in-transit), a 38 ppt event off-target. SAFFIs probably rule out ~1.5 ppt event on target but show a deeper event on 18 stars offset to 20-62""NW, that is likely the source of a QLP signal. The next observation should be focused and in a red (r', R, i', I, z) filter to determine the source, depth, and timing of the event off target.""",1520,,,NPC?,0,,,,,,,
2,978,KELT-1b,0.35833333333333,39.383611111111,10.7,0,0,5,F5,,1.217494,1.5E-5,2455914.1628,0.0023,0.006,0.115,0,0,0,0,1,,1,No,,,,,,,,,,,,,0,,,,,,,
3,160,KELT-01_SE,0.36216666666667,39.383805555556,10.7,0,0,5,,"Enric, Roi, CHEOPS. S. Eclipse",1.21749448,0,2456093.7433872,0,0,0.11526,0,0,0,0,1,,1,Yes,,,,,,,,,,,,,5,,,,,,,
4,904,TOI04000.01,0.974625,64.776319444444,13.2,0,0,2,,"Special target proposed by Noriharu. Hot Jupiter around a hot star. For observing setting, see instruction by Noriharu circulated on Nov. 19, 2021.",3.702696,0,2458976.490639,0,0,0.1483,0,0,0,0,1,1,1,No,2458976.490639,0.002046,3.702696,5.2E-5,0.1583333333,0.193,20.3,"[P=3.7027660] found in faint-star QLP search; Aviad Panahi, Tsevi Mazeh, and Shay Zucker report from 51 Gaia data points (2 in-transit), a 14 ppt event on-target. The next observation should be in a red (r', R, i', I, z, Y) filter to refine the timing of the transit on target. Allyson Bieryla/KeplerCam observed a full on 20211128 in ip and detected a 16 min (1.9σ) early, 20 min longer (1σ) 13 ppt event using a 3.4 target aperture that is less than 50% contaminated with T2 (TIC 606918240 T = 16.8 ΔT = 4.2 r = 3.6"" SW). The next observation should be a high precision (<1.0 ppt/5 min) full transit in a blue (U, u', B, g') filter to check chromaticity. Multi-band observations preferred.""",11220,,,VPC,0,,,,,,,
5,545,TOI02043.01,0.97754166666667,59.334680555556,10.604,0,0,2,,"EPHEMERIS ERROR: 22 min SG1 priority: 1 TTF Comments: The next observation would ideally provide extreme precision (<0.6 ppt/5 min) full transits to detect the shallow event on target in a red (r', R, i', I, z, Y) filter.",12.013,0,2458770.16483,0,0,0.170875,0,0,0,0,1,1,1,No,2458770.16483,0.00493,12.013,0.00053,0.170875,0.465,3.5,"crowded field; potential L1 candidate; Greg Srdoc observed a deep full (+/-10σ) on 20200820 in TESS-like band and reasonably cleared all stars except T10,11,15,32,37,57, and none of these show obvious NEBs. The next observation would ideally provide extreme precision (<0.6 ppt/5 min) full transits to detect the shallow event on target in a red (r', R, i', I, z, Y) filter.",820,1,SOPHIE(Hébrard),PPC,0,,,,,,,
6,727,TOI02045.01,1.11925,54.934497222222,11.304,0,0,3,,"EPHEMERIS ERROR: 14 min TTF Comments: VPC No more observations needed, except for multi-band or alternating filter high precision (<1.0 ppt/5 min) transits ***with at least 3.5 hr in-transit ceverage*** in blue (U, u', B, g') *and* very red (zp, zs, Y) to check for chromaticity.""""",9.07788,0,2458774.66777,0,0,0.258917,0,0,0,0,1,1,1,No,2458774.66777,0.00225,9.07768,0.00012,0.2589166667,0.546,13,"[P=9.07788] shoulder before ingress and after egress; odd/even in qlp; SAFFIs are consisitent with on-target. Greg Srdoc observed a nominal full on 20200908 in TESS-like band and possibly detected ~on time ~3ppt transit in an uncontaminated 8.4 aperture. Since the filter is TESS-like, I'm not sure how to reconcile the apparent depth difference. Phill Reed and Lauren Murphy observed a full (w/ingress gap) on 20201006 in R and detected a ~10 min (1.2σ) early 5.6 ppt transit in an uncontaminated 6.8"" target aperture. [P=9.07768] ChrisS analysed a near-full on 20201006 in 1m0 zs and detected a 5.5ppt on-time transit on-target. Ed Michaels observed a full on 20201006 in ip and detected an on-time ~4.5 ppt transit on-target that is apparently 30 min short. K. Barkaoui & KarenC analyzed an Ingress -60/90 min on 20201102 in 1m0 B,zs and detected on-time 5-7, 3-5 ppt ingresses on target. K. Barkaoui/LCO-McD-1m0 analyzed a full on 20211012 in B, zs and detected ~5.5 ppt ingresses in uncontaminated 4.3"" target apertures. No more observations needed, except for multi-band or alternating filter high precision (<1.0 ppt/5 min) transits ***with at least 3.5 hr in-transit ceverage*** in blue (U, u', B, g') *and* very red (zp, zs, Y) to check for chromaticity.""",5600,1,"HIRES-TKS(8, Howard)",VPC,0,,,,,,,
7,345,TOI01492.01,1.8877916666667,32.437530555556,10.297,0,0,5,,"EPHEMERIS ERROR: 23 min reported as NEB by TFOP, need to chek our data. Our data is actually useless. Target done as is declared EB by TFOP Check field within 2.5' for NEBs using a red (rp, R, ip, I, z) filter.",0.86673,0,2458765.228149,0,0,0.045375,0,0,0,0,1,1,1,Yes,2458765.22813,0.00379,0.86673,0.00021,0.045375,0.223,3.5,"Allyson observed a full on 20200118 in ip and detected a 300+ ppt PNEB in T4 (dT=6.2 , 41 NW, TIC 354594205). Small aperture FFIs confirms that the event occurs in T4. Retired as NEB.""",663,,,NEB,1,,,,,,,
8,723,TOI04002.01,2.3355416666667,60.159077777778,13.597,0,0,3,,EPHEMERIS ERROR: 21 min TTF Comments: PC: found in faint-star QLP search,"Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.""""",3.3379425,0,2458981.831744,0,0,0.136125,0,0,0,0,1,1,1,No,2458981.831744,0.004074,3.337942,9.9E-5,0.136125,0.686,18.5,"found in faint-star QLP search; Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.",7200,,,PC,0,,,,,,
9,671,TOI04001.01,2.5289583333333,64.572566666667,12.373,0,0,3,,EPHEMERIS ERROR: 17min TTF Comments: found in faint-star QLP search,"Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.""""",4.898393,0,2458973.570023,0,0,0.113917,0,0,0,0,1,1,1,No,2458973.570023,0.003619,4.898393,0.000127,0.1139166667,0.305,5.1,"found in faint-star QLP search; Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.",2130,,,PC,0,,,,,,
10,709,TOI03997.01,3.3928333333333,59.896533333333,13.785,0,0,5,,EPHEMERIS ERROR: 11 min TTF Comments: PC: found in faint-star QLP search,"Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter."" Submitted to TFOP on 21 Sep 2021 Report: Tc: 2459475.6903073 ± 0.0007606 T14: 0.05847 ± 0.00299 days The transit was observed in g, i, and z_s bands (r-band was not available). We detect an achromatic transit event on target, the transit is V-shaped although it seems to be achromatic. We can also rule out EBs in the field.""",3.459971,0,2458980.915963,0,0,0.05525,0,0,0,0,1,1,1,Yes,2458980.915963,0.001826,3.459971,5.6E-5,0.05525,0.254,12.5,"[P=3.459928] found in faint-star QLP search; Paul Benni observed a full on 20210904 in R and detected a 9 min late ~7 ppt transit in an uncontaminated 4.8 target aperture. [P=3.459971] Felipe/MuSCAT2 observed a full on 20210917 in gp,ip,zs and detected an ~on-time ~X ppt V-shaped event in an 11"" target aperture that is partially contaminated with a 13"" NNE neighbor. On hold awaiting validation or confirmation interest. No more SG1 observations needed at this time.""",7060,,,VPC+,1,,,,,,
